Produto,Qtd_KG,Data,Data_Ref,Data_Date
CUSCUZ C/ SALSICHA KG,0.208,2026-05-02,2026-05-02,2026-05-02
CUSCUZ C/ CARNE MOIDA KG,0.85,2026-05-09,2026-05-09,2026-05-09
CUSCUZ C/ SALSICHA KG,1.47,2026-05-09,2026-05-09,2026-05-09
TAPIOCA MISTA KG,0.14,2026-05-09,2026-05-09,2026-05-09
BAIAO DE DOIS CF KG,1.59,2026-05-07,2026-05-07,2026-05-07
CUSCUZ C/ SALSICHA KG,0.314,2026-05-07,2026-05-07,2026-05-07
ARROZ CREMOSO FRANGO KG,1.63,2026-05-04,2026-05-04,2026-05-04
CARNE C/ MACAXEIRA KG,0.384,2026-05-04,2026-05-04,2026-05-04
CUSCUZ C/ CARNE KG,1.132,2026-05-04,2026-05-04,2026-05-04
SOPA CARNE KG,0.444,2026-05-04,2026-05-04,2026-05-04
ARROZ C/ CREME FRANGO KG,4.108,2026-05-11,2026-05-11,2026-05-11
CUSCUZ C/ CARNE MOIDA KG,0.606,2026-05-11,2026-05-11,2026-05-11
CUSCUZ C/ SALSICHA KG,0.238,2026-05-11,2026-05-11,2026-05-11
ARROZ CREMOSO FRANGO KG,0.386,2026-05-13,2026-05-13,2026-05-13
CUSCUZ C/ CARNE MOIDA KG,0.208,2026-05-13,2026-05-13,2026-05-13
CUSCUZ C/ SALSICHA KG,1.106,2026-05-13,2026-05-13,2026-05-13
LASANHA CARNE MOIDA KG,0.638,2026-05-13,2026-05-13,2026-05-13
ARROZ C/ CREME FRANGO KG,1.616,2026-05-15,2026-05-15,2026-05-15
ARROZ LEITE C/ CARNE SOL KG,2.316,2026-05-15,2026-05-15,2026-05-15
BAIAO DE DOIS CF KG,1.63,2026-05-15,2026-05-15,2026-05-15
CUSCUZ C/ CARNE KG,0.76,2026-05-15,2026-05-15,2026-05-15
CUSCUZ C/ CARNE MOIDA KG,0.28,2026-05-15,2026-05-15,2026-05-15
CUSCUZ C/ SALSICHA KG,1.14,2026-05-15,2026-05-15,2026-05-15
FRANGO ASSADO CORTE FACIL KG,0.718,2026-05-15,2026-05-15,2026-05-15
LASANHA CARNE MOIDA KG,0.4,2026-05-15,2026-05-15,2026-05-15
ARROZ C/ CREME FRANGO KG,0.994,2026-05-14,,
CUSCUZ C/ CARNE KG,0.288,2026-05-14,,
CUSCUZ C/ CARNE MOIDA KG,0.626,2026-05-14,,
CUSCUZ C/ SALSICHA KG,0.6,2026-05-14,,
TORTA SALGADA FRANGO KG,0.68,2026-05-14,,
