Data,Produto,Qtd_KG
2026-06-19,ARROZ C/ CREME FRANGO KG,0.34
2026-06-19,ARROZ CREMOSO FRANGO KG,3.46
2026-06-19,BAIAO DE DOIS CF KG,0.76
2026-06-19,CUSCUZ C/ CARNE KG,0.73
2026-06-19,CUSCUZ C/ CARNE MOIDA KG,1.07
2026-06-19,CUSCUZ C/ SALSICHA KG,3.09
2026-06-19,EMPADAO FRANGO KG,0.4
2026-06-19,FRANGO ASSADO CORTE FACIL KG,0.84
2026-06-19,LASANHA CARNE MOIDA KG,3.29
2026-06-19,LASANHA FRANGO KG,0.31
2026-06-19,MACAXEIRA C/ CALABRESA ACEB KG,1.96
2026-06-19,ALMOCO CF FRANGO KG,0.38
2026-06-22,EMPADAO FRANGO KG,0.37
2026-06-22,ALMOCO CF FRANGO KG,0.35
2026-06-23,CUSCUZ C/ CARNE KG,0.82
2026-06-23,CUSCUZ C/ CARNE MOIDA KG,0.28
2026-06-23,ALMOCO CF FRANGO KG,0.66
2026-06-26,CUSCUZ C/ CARNE KG,0.96
2026-06-26,PANQUECA FRANGO KG,0.65
2026-06-29,BAIAO DE DOIS CF KG,0.7
2026-06-29,CUSCUZ C/ CARNE KG,1.46
2026-06-29,CUSCUZ C/ CARNE MOIDA KG,0.82
2026-06-29,FRANGO ASSADO CORTE FACIL KG,1.2
2026-06-29,PANQUECA CARNE MOIDA KG,0.28
2026-07-28,ARROZ C/ CREME FRANGO KG,2.83
2026-07-28,ARROZ LEITE C/ CARNE SOL KG,6.19
2026-07-28,BAIAO DE DOIS CF KG,0.37
2026-07-28,CUSCUZ C/ CARNE KG,3.96
2026-07-28,CUSCUZ C/ CARNE MOIDA KG,4.22
2026-07-28,FRANGO ASSADO CORTE FACIL KG,2.49
2026-07-28,LASANHA CARNE MOIDA KG,0.93
2026-07-28,LASANHA FRANGO KG,0.62
2026-07-28,ALMOCO CF FRANGO KG,0.76
2026-07-28,PANQUECA CARNE MOIDA KG,0.27
2026-07-28,MACARRAO BOLONHESA KG,1.31
2026-07-28,ALMOCO FIT KG,4.89
