Produto,Data,CODOPER,CODCLI,Qtd_KG,Valor_Final
CUSCUZ C/ SALSICHA KG,2026-03-21,S,1,1.492,34.31
CUSCUZ C/ SALSICHA KG,2026-04-03,S,1,2.166,49.79
CUSCUZ C/ SALSICHA KG,2026-03-20,S,1,2.332,53.62
MACAXEIRA COZIDA KG,2026-03-10,S,1,2.136,26.86
SOPA CARNE KG,2026-03-31,S,1,4.404,132.12
SOPA CARNE KG,2026-04-09,S,1,1.814,41.69
SOPA CARNE KG,2026-02-17,S,1,1.12,33.6
SOPA CARNE KG,2026-04-08,S,1,4.152,95.47
LASANHA CARNE MOIDA KG,2026-04-02,S,1,3.768,150.72
LASANHA CARNE MOIDA KG,2026-03-09,S,1,2.112,84.48
LASANHA CARNE MOIDA KG,2026-03-01,S,1,1.108,44.32
LASANHA CARNE MOIDA KG,2026-04-01,S,1,3.184,127.36
LASANHA FRANGO KG,2026-03-05,S,1,4.438,177.52
LASANHA FRANGO KG,2026-04-07,S,1,1.676,67.04
FRANGO ASSADO CORTE FACIL KG,2026-04-03,S,1,1.715,60.01
BAIAO DE DOIS CF KG,2026-04-04,S,1,2.874,100.59
ARROZ C/ CREME FRANGO KG,2026-03-20,S,1,1.91,64.91
ARROZ C/ CREME FRANGO KG,2026-03-21,S,1,4.108,139.63
CUSCUZ C/ CARNE MOIDA KG,2026-03-11,S,1,1.266,30.37
CUSCUZ C/ CARNE MOIDA KG,2026-04-01,S,1,4.492,116.78
CUSCUZ C/ CARNE MOIDA KG,2026-04-02,S,1,0.27,7.02
CARNE C/ MACAXEIRA KG,2026-04-06,S,6613,3.322,51.59
MACAXEIRA C/ CALABRESA ACEB KG,2026-03-28,S,1,1.778,46.22
PATE FRANGO KG,2026-03-11,S,1,3.744,131.04
PATE FRANGO KG,2026-03-12,S,1,2.588,90.58
PATE FRANGO KG,2026-03-05,S,1,1.29,45.15
SOPA CARNE KG,2026-02-14,S,1,0.758,22.74
LASANHA CARNE MOIDA KG,2026-02-18,S,1,2.882,115.28
PATE FRANGO KG,2026-02-21,S,1,2.772,97.02
EMPADAO FRANGO KG,2026-03-03,S,1,1.948,97.4
EMPADAO FRANGO KG,2026-03-27,S,1,3.066,153.3
EMPADAO FRANGO KG,2026-04-05,S,1,2.504,125.2
ESCONDIDINHO CARNE MOIDA KG,2026-02-25,S,1,2.102,84.08
CUSCUZ C/ SALSICHA KG,2026-03-10,S,1,5.216,104.32
CUSCUZ C/ SALSICHA KG,2026-03-26,S,1,3.182,73.16
CUSCUZ C/ SALSICHA KG,2026-03-09,S,1,5.972,119.44
MACAXEIRA COZIDA KG,2026-03-11,S,1,0.926,15.74
SOPA CARNE KG,2026-03-09,S,1,2.198,65.94
SOPA CARNE KG,2026-03-10,S,1,1.668,50.04
SOPA CARNE KG,2026-04-05,S,1,2.096,48.19
SOPA CARNE KG,2026-04-06,S,1,5.174,118.94
SOPA CARNE KG,2026-04-02,S,6613,1.424,23.1
LASANHA CARNE MOIDA KG,2026-03-12,S,1,2.61,104.4
LASANHA CARNE MOIDA KG,2026-03-02,S,1,1.716,68.64
