Produto,Data,CODOPER,CODCLI,CODFILIAL,Qtd_KG,Valor_Final
CUSCUZ C/ SALSICHA KG,2026-03-28,S,1.0,2,3.782,86.93
CUSCUZ C/ SALSICHA KG,2026-03-30,S,1.0,2,2.7,62.07
CUSCUZ C/ SALSICHA KG,2026-04-07,S,1.0,2,3.258,74.91
CUSCUZ C/ SALSICHA KG,2026-04-09,S,1.0,2,2.042,46.95
SOPA CARNE KG,2026-04-04,S,1.0,2,2.312,53.14
LASANHA FRANGO KG,2026-04-02,S,1.0,2,3.79,151.6
LASANHA FRANGO KG,2026-04-07,S,1.0,5,1.92,76.79
LASANHA FRANGO KG,2026-04-08,S,1.0,2,1.144,45.76
FEIJAO VERDE CORTE FACIL KG,2026-03-28,S,1.0,2,0.438,14.45
ARROZ C/ CREME FRANGO KG,2026-04-02,S,1.0,5,1.784,60.65
ARROZ C/ CREME FRANGO KG,2026-04-02,S,6613.0,2,7.056,62.09
ARROZ C/ CREME FRANGO KG,2026-04-06,E,,5,8.976,85.81
FRANGO ASSADO CF METADE KG,2026-04-03,S,1.0,2,10.892,381.09
FRANGO ASSADO CF METADE KG,2026-04-05,S,1.0,2,9.89,346.03
CARNE C/ MACAXEIRA KG,2026-03-29,S,1.0,2,3.896,116.88
CARNE C/ MACAXEIRA KG,2026-04-08,S,1.0,2,2.036,61.08
CARNE C/ MACAXEIRA KG,2026-04-08,S,1.0,5,1.144,34.32
CARNE C/ MACAXEIRA KG,2026-04-09,S,1.0,5,0.342,10.26
CARNE C/ MACAXEIRA KG,2026-04-09,S,1.0,2,2.712,81.36
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-06,S,1.0,5,0.87,22.61
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-06,E,,5,5.56,79.73
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-06,S,1.0,2,1.662,43.19
EMPADAO FRANGO KG,2026-04-02,S,6613.0,2,5.718,101.89
EMPADAO FRANGO KG,2026-04-03,S,1.0,2,4.034,201.7
TORTA SALGADA FRANGO KG,2026-04-03,S,1.0,5,2.516,100.64
CUSCUZ C/ CARNE MOIDA KG,2026-03-29,S,7726.0,2,0.286,7.43
CUSCUZ C/ CARNE MOIDA KG,2026-04-04,S,1.0,2,1.912,49.69
PATE FRANGO KG,2026-03-31,S,1.0,2,2.356,82.46
PATE FRANGO KG,2026-04-03,S,1.0,2,3.93,137.55
PATE FRANGO KG,2026-04-07,S,1.0,2,3.322,116.27
CUSCUZ C/ SALSICHA KG,2026-03-27,S,1.0,2,3.954,90.9
